ids,labels,parents
1732,"T-PRO-000 - Homogenizing the components",1582
1751,"T-PRO-000 - Organizing and separate deployments",317
2152,"T-ESP-902 - Promoting a project or oneself",1263
239,"T-DEV-700 - Fixing steps (deliveries and non-regression tests)",238
1585,"T-MAJ-800 - Crafting an API",212
296,"T-NSA-700 - Using project management tools",175
2223,"T-AIA-902 - Supporting a talk with relevant slides",128
1223,"T-NSA-810 - Finding the proper access to VM monitoring",281
1798,"T-PRO-000 - Hacking  a tool",1290
260,"T-POO-700 - Proving flexibility and reactivity to client needs",259
291,"T-WEB-700 - Keeping session tokens available",289
1566,"T-MAJ-800 - Delivering in time",183
1735,"T-PRO-000 - Handling events in a HMI",208
298,"T-WEB-700 - Delivering in time",183
1342,"T-DIT-810 - Supporting a talk with relevant slides",128
293,"T-WEB-700 - Sharing info on forums and such",154
1586,"T-MAJ-800 - Crafting an transmission protocol",212
1656,"T-PRO-000 - Writing a concise document",410
1491,"T-NSA-800 - Locating backend logs",280
1593,"T-MAJ-800 - Caching data",1309
1601,"T-MAJ-800 - Limitating infra capabilities",1509
1658,"T-PRO-000 - Defining procedures",1488
257,"T-POO-700 - Crafting a transmission protocol between two devices",212
1691,"T-PRO-000 - Sharing work to be reviewed",382
1695,"T-PRO-000 - Giving feedback",1251
1756,"T-PRO-000 - Improving infrastructure safety",1509
256,"T-POO-700 - Coding in accordance with the functional paradigm",255
262,"T-DEV-700 - Addressing a clear and organized speech",132
258,"T-POO-700 - Addressing a clear and organized speech",132
274,"T-WEB-700 - Arguing one's opinion",134
275,"T-NSA-700 - Addressing a clear and organized speech",132
1653,"T-PRO-800 - Making a professional public presentation",367
255,"3.4.B10 - Code in a functional paradigm-compliant way",207
147,"T-POO-700 - Discriminating relevant information",145
1224,"T-NSA-810 - Retrieving precise info about hosted services",281
1498,"T-NSA-800 - Aggregating backend logs",1425
2247,"T-IOT-902 - Keeping sensors data persistent",142
1855,"T-CLO-901 - Addressing a clear and organized speech",132
1376,"T-DEV-810 - Delivering in time",183
129,"T-DEV-700 - Supporting a talk with relevant slides",128
182,"T-POO-700 - Producing a clean code",180
177,"T-POO-700 - Using project management tools",175
190,"T-DEV-700 - Submitting a clean and well organised delivery",189
299,"T-NSA-700 - Delivering in time",183
294,"T-NSA-700 - Sharing info on forums and such",154
300,"T-WEB-700 - Using a versioning tool",186
185,"T-POO-700 - Delivering in time",183
199,"T-DEV-700 - Writing code documentation",198
242,"T-DEV-700 - Writing functional specifications",241
230,"T-POO-700 - Complying with the subject",228
246,"T-DEV-700 - Organizing a project in several independent components",245
301,"T-NSA-700 - Using a versioning tool",186
2224,"T-DAT-902 - Supporting a talk with relevant slides",128
1567,"T-MAJ-800 - Using a versioning tool",186
1462,"T-WEB-800 - Building a functional test sequence",224
1837,"T-ESP-901 - Writing code documentation",198
304,"T-WEB-700 - Producing a clean code",180
305,"T-NSA-700 - Producing a clean code",180
306,"T-WEB-700 - Delivering a robust solution",249
307,"T-NSA-700 - Delivering a robust solution",249
308,"T-WEB-700 - Crafting an API",212
310,"T-WEB-700 - Transmitting information using an internal API",216
302,"T-WEB-700 - Submitting a clean and well organised delivery",189
409,"T-PSP-700 - Video-teasing a project",132
325,"T-WEB-700 - Building a front-end with a Javascript framework",312
319,"T-WEB-700 - Isolating components in Docker containers",205
314,"T-WEB-700 - Developing an authentication method",313
303,"T-NSA-700 - Submitting a clean and well organised delivery",189
1689,"T-PRO-000 - Sharing info on Moodle forums",154
318,"T-NSA-700 - Dissociating platform/infra/runtime deployment from application deployment",317
316,"T-NSA-700 - Delivering a software with reduced downtime",315
1664,"T-PRO-000 - Locating logs",280
1692,"T-PRO-000 - Designing a user interface",1245
329,"4.2.B04 - Lock data",252
1762,"T-PRO-000 - Locking data",329
322,"T-NSA-700 - Ensuring quality in production environment",320
324,"T-WEB-700 - Using node.js",312
333,"T-NSA-700 - Storing secrets",327
334,"T-WEB-700 - Protecting data",327
335,"T-NSA-700 - Preventing data leak",328
336,"T-NSA-700 - Locking infrastructure data",329
337,"T-WEB-700 - Managing access",330
338,"T-WEB-700 - Securizing client/server communication",331
1668,"T-PRO-000 - Getting data from an external device",1225
1343,"T-DIT-810 - Communicating outside your company to clients or institutions",367
1568,"T-MAJ-800 - Producing a clean code",180
423,"T-ESP-700 - Optimising a video",422
340,"T-NSA-700 - Complying with the subject",228
346,"T-NSA-700 - Garanteing uptime: fast rollback",341
398,"T-DIT-700 - Proving flexibility and reactivity to client needs",259
349,"T-WEB-700 - Orchestrating with Docker",344
1711,"T-PRO-000 - Delivering in time",183
350,"T-WEB-700 - Defining the visitor role",345
1768,"T-PRO-000 - Ensuring electrical safety",1323
1499,"T-NSA-800 - Sharing info on forums and such",154
351,"T-WEB-700 - Organizing code according to a 3-tier architecture",245
332,"T-NSA-700 - Keeping environment variables coherent",326
353,"T-NSA-700 - Identifying developpers needs",352
1655,"T-PRO-000 - Documenting produced work",277
356,"T-NSA-700 - Automating deployment process",355
357,"T-NSA-700 - Using CI/CD",355
359,"T-WEB-700 - Proposing a guided tour",358
361,"T-WEB-700 - Consuming RSS feeds",360
347,"T-NSA-700 - Deploying automatically quickly",342
339,"T-WEB-700 - Complying with the subject",228
363,"T-WEB-700 - Defining the admin role",362
365,"T-NSA-700 - Restarting services automatically after incident",343
383,"T-DIT-700 - Sharing work to be reviewed",382
379,"T-DIT-700 - Sharing info on forums and such",154
309,"T-WEB-700 - Authentication via Oauth (Google/FB/…)",216
1854,"T-WEB-700 - Using an indexation tool",1388
431,"T-ESP-700 - Delivering in time",183
369,"T-DIT-700 - Communicating outside your company to clients or institutions",367
384,"T-DIT-700 - Using specific tools to collaborate as a team",172
370,"T-DIT-700 - Communicating to early adopters involved in the project",368
371,"T-DIT-700 - Answering questions",136
450,"T-ESP-700 - Setting up an environment for recruitment",402
373,"T-DIT-700 - Researching existing technologies and solutions",372
1569,"T-MAJ-800 - Delivering a robust solution",249
386,"2.5.B02 - Behave decently on professional forums",149
381,"T-DIT-700 - Proposing devices of ascendant communication with users",380
364,"T-NSA-700 - Automating rollback",343
375,"T-DIT-700 - Complying with an existing method",374
378,"T-DIT-700 - Drafting a SWOT analysis",377
1733,"T-PRO-000 - Keeping a legal watch",389
385,"T-DIT-700 - Using project management tools",175
387,"T-DIT-700 - Behaving decently on Discord",386
388,"T-DIT-700 - Delivering in time",183
390,"T-DIT-700 - Keeping a legal watch",389
392,"T-DIT-700 - Proposing inclusive communication devices/vectors adapted to disabled users",391
1216,"T-ESP-800 - Supporting a talk with relevant slides",128
1856,"T-DAT-901 - Addressing a clear and organized speech",132
1604,"4.1.B09 - Regulate data transmission channels",248
396,"T-DIT-700 - Analyze the impact of the solution on environnement",395
397,"T-DIT-700 - Complying with the subject",228
2158,"T-ESP-902 - Writing code documentation",198
411,"T-ESP-700 - Writing a 50-word document",410
403,"T-DIT-700 - Tayloring existing procedures to set up change",402
416,"T-DIT-700 - Taking into account given documents regarding a use case",414
399,"T-DIT-700 - Writing operational specifications",352
1594,"T-MAJ-800 - Accelerating algorithm training",1309
401,"T-DIT-700 - Taking into account the budget and financial aspects of the project",400
394,"T-DIT-700 - Using digital technologies to improve well-being",393
405,"T-DIT-700 - Identifying the specific early adopters needed to implement the project",404
430,"T-ESP-700 - Adapting communication to the specific audience",429
412,"T-ESP-700 - Writing a document specifying user needs",410
1659,"T-PRO-000 - Understanding given instructions",413
421,"T-ESP-700 - Estimating the amount of work",420
407,"T-DIT-700 - Showing understanding of the importance of training",406
366,"T-DIT-700 - Addressing a clear and organized speech",132
424,"T-PSP-700 - Sharing info on forums and such",154
415,"T-PSP-700 - Understanding given instructions on Gandalf",413
418,"T-PSP-700 - Evaluating a video",417
419,"T-PSP-700 - Evaluating a video",417
426,"T-PSP-700 - Exposing an idea through a video",425
1463,"T-DEV-800 - Developing an authentication method",313
1217,"T-NSA-810 - Supporting a talk with relevant slides",128
1344,"T-DEV-810 - Writing a data-scientist notebook",410
2071,"T-VIR-902 - Complying with the subject",228
1242,"T-ESP-800 - Sharing info on forums and such",154
2248,"T-AIA-902 - Displaying complex data",290
1595,"T-MAJ-800 - Dissociating platform/infra/runtime deployment from application deployment",317
444,"T-PSP-700 - Recruiting the proper coworkers",404
445,"T-PSP-700 - Describing one's own competencies",404
434,"T-ESP-700 - Using digital technologies to improve well-being",393
427,"T-DIT-700 - Using a common working repository",172
437,"T-ESP-700 - Complying with the subject",228
433,"T-ESP-700 - Producing a video",432
436,"T-ESP-700 - Using digital technologies to coppe with environmental issues",435
438,"T-ESP-700 - Writing functional specifications",241
439,"T-ESP-700 - Writing non-functional specifications",240
441,"T-ESP-700 - Translating user needs",352
443,"T-ESP-700 - Designing a creative solution",442
1696,"T-PRO-000 - Exposing a personal idea",425
1763,"T-PRO-000 - Managing access",330
425,"2.2.B04 - Expose a personal idea",164
1348,"T-DEV-810 - Answering questions",136
1857,"T-IOT-901 - Addressing a clear and organized speech",132
1870,"T-IOT-901 - Answering questions",136
1871,"T-AIA-901 - Answering questions",136
449,"T-PSP-700 - Behaving constructively on forums",448
1218,"T-DEV-811 - Supporting a talk with relevant slides",128
1828,"T-ESP-901 - Assessing produced work",1232
2097,"T-DIT-901 - Defining strategical scenario",1814
432,"3.1.B06 - Produce a video",193
440,"T-ESP-700 - Proving flexibility and reactivity to client needs",259
1475,"T-WEB-800 - Complying with the subject",228
2225,"T-IOT-902 - Supporting a talk with relevant slides",128
1500,"T-NSA-800 - Using project management tools",175
1596,"T-MAJ-800 - Isolating components in Docker containers",205
1602,"T-MAJ-800 - Automating database backup",1520
1607,"T-MAJ-800 - Defining a password policy",328
130,"T-POO-700 - Supporting a talk with relevant slides",128
1243,"T-NSA-810 - Sharing info on forums and such",154
1506,"T-NSA-800 - Automating plateform modifications",1297
1608,"T-MAJ-800 - Locking infrastructure data",329
1611,"T-MAJ-800 - Securizing client/server communication",331
1697,"T-PRO-000 - Sharing the display of a connected device",1253
1766,"T-PRO-000 - Taking handicaps into consideration when offering a service",391
2125,"T-EPI-000 - Organizing a conference",167
1480,"T-WEB-800 - Proving flexible and reactive to client needs",259
1858,"T-AIA-901 - Addressing a clear and organized speech",132
1229,"T-ESP-800 - Discriminating relevant information",145
1227,"T-DEV-811 - Using sensors to collect data",1225
1603,"T-MAJ-800 - Securizing databases backups",1520
1609,"T-MAJ-800 - Managing access",330
1464,"T-WEB-800 - Developing an authentication method",313
193,"3.1 Developing digital content",178
1377,"T-DIT-810 - Delivering in time",183
1881,"T-IOT-901 - Investigating relevant obstacles preventing a solution",1355
1244,"T-DEV-811 - Sharing info on forums and such",154
139,"1. Information and data literacy",
1219,"T-NSA-810 - Writing a vulnerability report",277
247,"4. Safety",
265,"3.0 Fundamentals",178
164,"2.2 Sharing through digital technologies",148
1228,"T-DEV-811 - Getting relevant 3D-models",1226
1859,"T-CLO-901 - Supporting a talk with relevant slides",128
1570,"T-MAJ-800 - Drawing a use-case diagram",201
2227,"T-AIA-902 - Writing a data-scientist report",410
1239,"T-NSA-810 - Logging API calls",1238
1231,"T-ESP-800 - Evaluating the quality of the produced work during the previous sprint",1230
2250,"T-IOT-902 - Displaying the sensors status",290
1597,"T-MAJ-800 - Building safe requests to the database",269
1233,"T-ESP-800 - Assessing produced work",1232
1349,"T-DIT-810 - Answering questions",136
1476,"5.1.B10 - Fit an HMI to required functionalities",227
1354,"T-DIT-810 - Researching existing technologies and solutions",372
1356,"T-DIT-810 - Taking into account various constraints of a given problem ",1355
1360,"T-DEV-810 - Compensating the lack of heterogeneity of the initial dataset",1230
1654,"T-PRO-000 - Making a professional presentation to other departments",368
1683,"T-PRO-000 - Optimising images and videos",422
1693,"T-PRO-000 - Connecting two distant machines",1247
2126,"T-EPI-000 - Taking part in community projects",160
2251,"T-IOT-902 - Consuming structured data from an external source",360
1361,"T-DEV-810 - Assessing quality of process and results",1232
1358,"T-DIT-810 - Discriminating relevant information",145
1363,"T-DIT-810 - Analyzing the results of the interviews by the group",1362
1357,"T-DEV-810 - Choosing relevant metrics",1362
1369,"T-DIT-810 - Sharing info on forums and such",154
1350,"T-DEV-810 - Arguing one's opinion",134
1235,"T-NSA-810 - Identifying vulnerable artefacts",1234
1465,"T-WEB-800 - Delivering a responsive app",312
1571,"T-MAJ-800 - Drawing a class diagram",194
1237,"T-NSA-810 - Centralizing containers management",1236
2252,"T-AIA-902 - Designing an ergonomic user-interface ",1245
1623,"T-MAJ-800 - Guaranteeing uptime: fast rollback",341
2812,"T-DAT-902 - Automating data patching",1297
1255,"2.2.B06 - Share artifacts",164
1251,"2.1.B07 - Give feedback",153
1860,"T-DAT-901 - Supporting a talk with relevant slides",128
1872,"T-DAT-901 - Arguing one's opinion",134
1248,"T-NSA-810 - Connecting the back and the front",1247
1241,"T-DEV-811 - Enhancing expressiveness of the simulation",1240
1256,"T-NSA-810 - Sharing artifacts",1255
1250,"T-NSA-810 - Connecting the back and the front containers",1249
1246,"T-DEV-811 - Designing an HMI",1245
1252,"T-ESP-800 - Giving feedback",1251
1254,"T-DEV-811 - Sharing smartphone display",1253
1257,"T-ESP-800 - Using project management tools",175
1258,"T-NSA-810 - Using project management tools",175
1259,"T-DEV-811 - Using project management tools",175
1466,"T-WEB-800 - Developping using a Javascript framework",312
2279,"T-IOT-902 - Using libraries",1388
1277,"T-DEV-811 - Delivering a robust solution",249
1262,"T-ESP-800 - Behaving decently on forums",150
1264,"T-ESP-800 - Promoting through Moodle forum",1263
1861,"T-AIA-901 - Supporting a talk with relevant slides",128
1694,"T-PRO-000 - Connecting two containers",1249
1265,"T-ESP-800 - Delivering in time",183
1266,"T-NSA-810 - Delivering in time",183
1316,"T-NSA-810 - Keeping a clean production environment",320
1713,"T-PRO-000 - Submiting a clean and well organised delivery",189
1267,"T-DEV-811 - Delivering in time",183
1268,"T-ESP-800 - Using a versioning tool",186
1269,"T-DEV-811 - Using a versioning tool",186
1270,"T-ESP-800 - Submitting a clean and well organised delivery",189
1271,"T-NSA-810 - Submitting a clean and well organised delivery",189
1275,"T-ESP-800 - Producing a clean code",180
1272,"T-DEV-811 - Submitting a clean and well organised delivery",189
1276,"T-DEV-811 - Producing a clean code",180
1278,"T-ESP-800 - Writing code documentation",198
1274,"T-ESP-800 - Facilitating newbies integration",1273
1572,"T-MAJ-800 - Drawing an activity diagram",196
1573,"T-MAJ-800 - Writing code documentation",198
1280,"T-ESP-800 - Using CI/CD",355
1281,"T-NSA-810 - Using CI/CD",355
1284,"T-NSA-810 - Taking ownership of an existing plateform",1283
1761,"T-PRO-000 - Strengthening security using a password policy",328
1467,"T-DEV-800 - Caching queries' outputs",1309
1282,"T-ESP-800 - Proposing a tutorial and/or a guided tour",358
1285,"T-NSA-810 - Taking ownership of existing code",1283
1862,"T-IOT-901 - Supporting a talk with relevant slides",128
1873,"T-IOT-901 - Arguing one's opinion",134
1288,"T-DEV-811 - Overlaying data",1286
2228,"T-DAT-902 - Writing a data-scientist notebook",410
2122,"T-EPI-000 - Arguing one's opinion",134
1291,"T-ESP-800 - Automating generation of documentation",1289
1298,"T-NSA-810 - Automating patching",1297
2253,"T-IOT-902 - Taking part in community projects",160
1293,"T-ESP-800 - Automating tests launching",1292
1296,"T-NSA-810 - Automating test coverage evaluation",1292
1299,"T-NSA-810 - Exploiting vulnerabilities to jump from host to host",1295
1428,"T-DEV-800 - Sharing info on forums and such",154
1301,"T-DEV-811 - Transmitting information from the single-board microcontroller to AR app",216
1302,"T-NSA-810 - Exploiting vulnerabilities to escalate privilege",1294
1279,"T-ESP-800 - Recruiting the proper coworkers",404
1304,"T-DEV-811 - Using a sensor with creativity",1290
1305,"T-NSA-810 - Testing in a CI/CD",224
1468,"T-WEB-800 - Caching third-party API responses",1309
2229,"T-AIA-902 - Answering questions",136
1307,"T-DEV-811 - Utilizing an AR framework",1306
1321,"T-DEV-811 - Selecting a pathfinding algorithm",1318
1308,"T-DEV-811 - Printing trashcans",1287
1310,"T-DEV-811 - Producing a fast code",1309
1312,"3.4.B15 - Recognize a pattern in an image",207
1311,"T-NSA-810 - Bypassing password typing",402
1313,"T-DEV-811 - Recognizing a trashcan in the camera output",1312
1907,"T-CLO-901 - Delivering in time",183
1323,"4.3.B03 - Ensure electrical safety",253
1314,"T-ESP-800 - Improving specifications",402
1315,"T-NSA-810 - Isolating components in Docker containers",205
1574,"T-MAJ-800 - Producing a video",432
1698,"T-PRO-000 - Sharing artifacts",1255
1319,"T-DEV-811 - Ensuring devices safety",1317
1699,"T-PRO-000 - Sharing an organized set of documents",1370
1320,"T-NSA-810 - Defining and applying a password policy",328
1322,"T-NSA-810 - Reinforcing acess management",330
1773,"T-PRO-000 - Deploying quickly",342
1324,"T-ESP-800 - Proving flexibility and reactivity to client needs",259
1325,"T-DEV-811 -  Ensuring connections safety of each component",1323
1303,"T-DEV-811 - Transmitting information from the AR app to the single-board microcontroller",216
1327,"T-NSA-810 - Complying with the subject",228
1328,"T-NSA-810 - Grouping coherently services",245
1329,"T-DEV-811 - Complying with the subject",228
1331,"T-NSA-810 - Restarting services automatically",343
1575,"T-MAJ-800 - Setting up CI/CD",355
1332,"T-NSA-810 - Managing dockers with Portainer",344
1477,"T-DEV-800 - Fitting an HMI to required functionalities",1476
1334,"T-DEV-811 - Identifying users behavior/Preview possible scenario",1330
1588,"T-MAJ-800 - Building a full unit test coverage",214
2230,"T-DAT-902 - Answering questions",136
1598,"T-MAJ-800 - Deleting old logs",1317
1336,"T-NSA-810 - Setting up a dynamic DNS",1335
1429,"T-WEB-800 - Sharing info on forums and such",154
1700,"T-PRO-000 - Participating in a social action",1372
1351,"T-DIT-810 - Arguing one's opinion",134
1452,"T-DEV-800 - Connecting the HMI to functional part through some events management system",208
2163,"T-ESP-902 - Building a full unit test coverage",214
2290,"T-IOT-902 - Using digital technologies to monitor environmental metrics",435
1333,"T-NSA-810 - Identifying the source of SSH deconnections",1330
1338,"T-NSA-810 - Patching vulnerable artefacts",1337
1669,"T-PRO-000 - Getting relevant 3D-models",1226
154,"2.1.B01 - Share info on Moodle forums",153
1326,"T-ESP-800 - Complying with the subject",228
1347,"T-DIT-810 - Using the UX methodology to write a questionnaire",1346
1469,"T-DEV-800 - Isolating components in Docker containers",205
1364,"T-DEV-810 - Keeping persistent the parameters resulting from training phase",142
1365,"T-DEV-810 - Displaying complex data",290
1367,"T-DEV-810 - Exporting notebook into a common format",1366
1589,"T-MAJ-800 - Building a functional test sequence",224
1371,"T-DIT-810 - Sharing the set of background search documents used to frame the topic",1370
1374,"T-DEV-810 - Using project management tools",175
1375,"T-DIT-810 - Using project management tools",175
1373,"T-DIT-810 - Fetching info to support medical research",1372
2231,"T-IOT-902 - Answering questions",136
1378,"T-DEV-810 - Using a versioning tool",186
1379,"T-DEV-810 - Submitting a clean and well organised delivery",189
1785,"T-PRO-000 - Fixing steps (deliveries and non-regression tests)",238
1380,"T-DEV-810 - Producing a clean code",180
1381,"T-DEV-810 - Delivering a robust solution",249
1874,"T-AIA-901 - Arguing one's opinion",134
1576,"T-MAJ-800 - Overlaying data",1286
1368,"T-DEV-810 - Sharing info on forums and such",154
1885,"T-AIA-901 - Increasing heterogeneity of a dataset",1230
1712,"T-PRO-000 - Using a versioning tool",186
1495,"T-NSA-800 - Defining some alerts",1362
1382,"T-DIT-810 - Setting up the possibility to test one's solution with the final user",203
1470,"T-DEV-800 - Building safe requests to the database",269
1385,"T-DIT-810 - Crafting a synthesis document ",1384
1387,"T-DEV-810 -  Batch creating images for training",1386
1389,"T-DEV-810 - Using a ML library",1388
1391,"T-DEV-810 - Tuning parameters of a ML algorithm",1390
1478,"T-DEV-800 - Writing functional specifications",241
2254,"T-AIA-902 - Using project management tools",175
2298,"T-AIA-902 - Benchmarking algorithms",1318
1485,"T-NSA-800 - Addressing a clear and organized speech",132
127,"0.3 Written Production",124
2813,"T-DAT-902 - Developping using a Javascript framework",312
1502,"T-NSA-800 - Using a versioning tool",186
1577,"T-MAJ-800 - Automating documentation of coded functions",1289
1864,"T-IOT-901 - Documenting produced work",277
2302,"T-IOT-902 - Crafting an air quality sensor",1287
1590,"T-MAJ-800 - Developing a generic authentication method",313
1675,"T-PRO-000 - Evaluating the quality of digital content",1230
241,"5.2.B01 - Write functional specifications",237
2255,"T-DAT-902 - Using project management tools",175
1471,"T-DEV-800 - Managing access",330
1396,"T-DIT-810 - Suggesting solutions to implement safety measures for devices",1317
1685,"T-PRO-000 - Enhancing expressiveness of the simulation",1240
1578,"T-MAJ-800 - Automating tests launching",1292
1479,"T-DEV-800 - Organizing a project in several independent components",245
1591,"T-MAJ-800 - Developping using a Javascript framework",312
376,"T-DIT-700 - Discriminating failure pitfalls",145
1393,"T-DEV-810 - Accelerating algorithm training",1309
1503,"T-NSA-800 - Delivering a robust solution",249
1449,"T-DEV-800 - Using a library to take pictures",1388
1507,"T-NSA-800 - Reducing downtime during incidents",315
1508,"T-NSA-800 - Deleting old logs",1317
1412,"T-DIT-810 - Identifying skills needed to complete the project",1411
1770,"T-PRO-000 - Using digital technologies to coppe with environmental issues",435
1497,"T-NSA-800 - Displaying infrastructure status",290
1505,"T-NSA-800 - Taking ownership of an existing plateform",1283
1511,"T-NSA-800 - Suggesting safety improvements",1397
1394,"3.4.B16 - Develop a complex algorithm",207
1769,"T-PRO-000 - Being aware of the environmental impact of digital technologies and their use",395
1513,"T-NSA-800 - Guaranteing a fast recovery",341
1496,"T-NSA-800 - Backing up a database",1520
2111,"T-DIT-901 - Assisting users in using an application",358
2099,"T-DIT-901 - Writing software architecture specifications",243
1636,"5.2.B10 - Adapt wireless transmission",237
1287,"5.3.B04 - Craft an object",231
2256,"T-IOT-902 - Using project management tools",175
1398,"T-DIT-810 - Considering the security of the medical and personal data sensitivity",1397
1686,"T-PRO-000 - Centralizing tasks",1236
1405,"T-DEV-810 - Benchmarking algorithms",1318
447,"T-PSP-700 - Using specific tool to collaborate",172
1399,"T-DIT-810 - Considering handicaps and impairments in the solution",391
2263,"T-AIA-902 - Submitting a clean and well organised delivery",189
1406,"T-DIT-810 - Designing a creative solution",442
1400,"T-DEV-810 - Complying with the subject",228
1401,"T-DIT-810 - Complying with the subject",228
1402,"T-DIT-810 - Writing non-functional specifications",240
1403,"T-DIT-810 - Proving flexibility and reactivity to client needs",259
1407,"T-DEV-810 - Mixing training and testing datasets",1290
1408,"T-DEV-810 - Giving instructions to read the notebook",358
1409,"T-DIT-810 - Helping people to set up the DMP",358
1657,"T-PRO-000 - Adapting communication scheme to an objective",1346
1410,"T-DIT-810 - Listing training actions needed to implement the suggested solution",406
124,"0. Expression",
148,"2. Communication and collaboration",
1797,"T-PRO-000 - Crafting an object",1287
1670,"T-PRO-000 - Investigating relevant obstacles preventing a solution",1355
178,"3. Digital content creation",
1341,"T-DEV-810 - Supporting a talk with relevant slides",128
1215,"T-DEV-811 - Addressing a clear and organized speech",132
1300,"T-ESP-800 - Keeping a legal watch",389
1472,"T-WEB-800 - Securizing client/server communication",331
1605,"T-MAJ-800 - Limitating open ports",1604
1580,"T-MAJ-800 - Using a AR/VR library",1388
153,"2.1 Interacting through digital technologies",148
